Goals_pG,Assists_pG,Yel_pG,Red_pG,Shot_pG,Pass_success_rate,AerialsWon_pG,Rating
0.066666667,0.4,0.266666667,0,0.9,71.2,0.9,7.01
0.066666667,0,0.2,0,0.6,89.3,1.6,7.01
0.6,0.1,0,0,3.1,71.3,1.7,7
0.142857143,0.071428571,0.142857143,0,1.3,78.8,0.1,7
0.285714286,0,0.428571429,0,1.9,85.1,0.8,7
0.076923077,0.230769231,0.230769231,0,1.5,70,2.5,7
0,0.25,0.166666667,0,0.5,91.7,0.3,7
0.076923077,0.384615385,0.153846154,0,0.5,78.5,0.1,7
0,0.076923077,0.384615385,0,0.8,77.8,1.8,7
0.230769231,0.230769231,0.076923077,0,2.3,84.3,0.6,7
0.266666667,0.133333333,0,0,0.9,82.6,0.3,6.99
0.066666667,0.133333333,0.133333333,0,0.7,88.1,1,6.99
0.142857143,0.214285714,0,0,1.9,84.5,0.4,6.99
0,0,0.133333333,0,0.7,81.6,3,6.99
0.142857143,0,0,0,1.6,75.9,2.4,6.99
0.066666667,0.2,0.133333333,0,0.7,82.5,2.3,6.99
0.142857143,0.071428571,0.071428571,0,0.7,78,3.6,6.99
0.5,0.142857143,0.142857143,0,2,79.6,0.6,6.99
0,0,0.111111111,0,0.3,85.9,2,6.99
0.066666667,0.2,0.2,0,1.1,80.7,0.5,6.99
0.2,0.2,0.066666667,0,2.8,71.9,0.7,6.98
0.066666667,0.066666667,0.2,0,0.6,88.9,2.5,6.98
0.428571429,0.214285714,0,0,3.6,76.4,0.1,6.98
0.266666667,0.066666667,0.2,0,1.8,76.4,0.8,6.98
0,0.133333333,0.133333333,0,0.6,83.4,1.3,6.98
0,0,0,0,0,74,0.1,6.98
0.5,0.2,0,0.1,3.9,74.3,1.4,6.98
0.142857143,0.214285714,0.285714286,0,1.4,82.3,0.2,6.97
0.142857143,0,0.142857143,0,0.9,89.9,2.1,6.97
0.266666667,0.2,0.2,0,2,82.6,0.9,6.97
0.111111111,0.555555556,0,0,1.4,84.5,0.2,6.97
0,0.071428571,0.214285714,0,0,55.7,0.2,6.97
0.3,0,0,0,1.8,70.1,1.7,6.97
0,0.142857143,0.142857143,0,0.8,89,0.3,6.97
0.090909091,0.181818182,0.090909091,0.090909091,1.4,69.6,0.5,6.97
0.2,0.066666667,0.066666667,0,1.1,86.4,0.8,6.97
0,0,0.066666667,0,0.3,90.5,2.1,6.97
0,0.1,0.1,0,1.5,79.9,0.9,6.97
0.142857143,0,0.214285714,0,2.7,82.6,0.5,6.97
0.466666667,0.2,0.066666667,0,1.6,69.2,0.5,6.96
0.692307692,0.076923077,0.076923077,0,3,72.6,1.2,6.96
0.230769231,0.076923077,0,0,2,74.2,1.4,6.96
0,0,0.285714286,0,0.3,81.9,2.6,6.96
0,0.133333333,0.066666667,0,0.8,88.5,0.8,6.96
0.357142857,0.071428571,0,0,2.4,70.5,0.8,6.96
0.066666667,0.133333333,0.133333333,0,1.2,90.4,1,6.96
0.066666667,0,0.066666667,0,0.3,88.5,2.1,6.96
0.181818182,0.363636364,0.181818182,0,2.1,81.1,0.5,6.95
0.111111111,0.111111111,0.555555556,0,0.6,79.5,2.1,6.95
0.214285714,0.214285714,0,0,1.7,79.1,0.4,6.95
0.142857143,0.142857143,0.285714286,0.071428571,1.1,85.4,3.5,6.95
0.142857143,0,0.357142857,0,1.1,83,2.1,6.95
0,0,0.111111111,0,0.3,81.7,1.4,6.95
0,0,0,0,0,48.1,0,6.95
0.214285714,0,0.285714286,0,2,80.3,0.5,6.95
0.4,0.1,0.1,0,2.4,69.4,1.7,6.95
0.272727273,0,0.090909091,0,0.9,73.5,0.5,6.95
0,0.1,0.2,0,0.5,87.9,0.3,6.95
0.230769231,0.153846154,0.230769231,0,1.4,90.7,0.5,6.95
0.4,0.133333333,0.066666667,0,2.4,72.9,1.6,6.94
0.272727273,0.272727273,0.090909091,0.090909091,2,80.2,0.1,6.94
0.153846154,0,0.307692308,0,1,88.9,0.5,6.94
0.111111111,0,0.222222222,0.111111111,1.1,78.9,3.4,6.94
0,0,0,0,0,73.5,0.1,6.94
0.230769231,0.230769231,0.076923077,0,1.6,51.9,4.4,6.94
0.461538462,0.153846154,0.076923077,0,1.7,79.8,0.3,6.94
0.133333333,0.266666667,0.066666667,0,1.7,76.5,0.8,6.94
0.133333333,0.133333333,0.133333333,0,1.7,74,0.1,6.94
0.357142857,0.071428571,0.214285714,0,2.1,61.9,2.2,6.94
0.066666667,0.066666667,0.066666667,0,0.2,94,0.4,6.93
0.133333333,0.066666667,0.133333333,0,3,85.1,0.5,6.93
0,0.071428571,0.071428571,0,0.4,85.2,0.4,6.93
0,0.076923077,0,0,0.8,78.7,1.8,6.93
0.266666667,0.066666667,0.066666667,0,1.9,84.4,0.9,6.93
0.25,0,0.25,0,2.3,86.4,0.7,6.93
0.384615385,0.153846154,0.153846154,0,1.9,82.1,0.2,6.93
0.266666667,0.066666667,0.066666667,0,0.9,77,1.7,6.92
0,0,0.222222222,0,0,64.3,0.6,6.92
0,0,0.066666667,0,0,66.8,0.4,6.92
0,0,0,0,0,67.1,0.1,6.92
0.071428571,0,0.071428571,0.071428571,1.1,81.7,0.7,6.92
0.083333333,0,0.083333333,0,0.8,83.5,0.5,6.92
0.266666667,0.133333333,0.2,0,2.6,72,1.3,6.92
0.076923077,0,0.230769231,0,0.8,91,2.1,6.92
0.066666667,0.333333333,0.066666667,0,0.9,80.5,0.1,6.91
0.153846154,0.153846154,0.076923077,0,2,79.4,0.2,6.91
0.076923077,0,0.153846154,0,0.6,81,2.5,6.91
0.357142857,0.142857143,0.142857143,0,1.2,77.5,0.1,6.91
0,0.142857143,0,0,0.9,78.3,0.6,6.91
0.25,0,0.083333333,0,0.7,88.3,1.8,6.91
0,0.142857143,0.071428571,0,1.9,76.7,1.4,6.91
0.071428571,0,0.285714286,0,0.8,87.3,1.1,6.91
0,0.071428571,0.214285714,0,1,88.3,0.5,6.91
0.066666667,0.066666667,0.066666667,0,1.1,76.9,2.2,6.91
0,0,0,0,0,62.3,0.2,6.9
